BER	NER	MMR	FA	HR	NHEJ	DR	TLS	DS
					LIG4			
				MRE11A				
				NBN				
					NHEJ1			
PARP1								
POLB								
					POLL			
					POLM			
					PRKDC			
				RAD50				
				TP53BP1				
				XRCC2				
				XRCC3				
					XRCC4			
					XRCC5			
					XRCC6			
		EXO1						
		MLH1						
		MLH3						
		MSH2						
		MSH3						
		MSH6						
		PMS1						
		PMS2						
						ALKBH2		
						ALKBH3		
APEX1								
APEX2								
								ATM
								ATR
								ATRIP
				BARD1				
				BLM				
				BRCA1				
				BRCA2				
				BRIP1				
								CHEK1
								CHEK2
	CUL5							
				EME1				
	ERCC1							
	ERCC2							
	ERCC4							
	ERCC5							
	ERCC6							
			FANCA					
			FANCB					
			FANCC					
			FANCD2					
			FANCI					
			FANCL					
			FANCM					
FEN1								
				GEN1				
								MDC1
						MGMT		
				MUS81				
				PALB2				
	POLE							
	POLE3							
							POLN	
							POLQ	
				RAD51				
				RAD52				
				RBBP8				
							REV1	
							REV3L	
								RNMT
				SHFM1				
							SHPRH	
				SLX1A				
TDG								
TDP1								
				TOP3A				
								TOPBP1
								TREX1
			UBE2T					
UNG								
	XPA							
	XPC							
