MSI	Sample
positive	SP110242
positive	SP21017
positive	SP18310
positive	SP94348
positive	SP92364
positive	SP94933
positive	SP93540
positive	SP90989
positive	SP99325
positive	SP90209
positive	SP94741
positive	SP85122
positive	SP18121
positive	SP96133
positive	SP19215
positive	SP84392
positive	SP125746
positive	SP124384
positive	SP22383
positive	SP102133
positive	SP84439
positive	SP135287
positive	SP84384
positive	SP93227
positive	SP17172
positive	SP95454
positive	SP125770
positive	SP107012
positive	SP84982
positive	SP94917
positive	SP92460
positive	SP98845
positive	SP112851
positive	SP102897
